SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,164 FAIRMOUNT Ave,Newark City,NJ,07103-2433,160000,3,1.5,Central,,,1970,90,,,Active,,,http://www.redfin.com/NJ/Newark/164-Fairmount-Ave-07103/unit-1/home/36233894,GSMLS,3681867,N,Y,40.7416359,-74.1936083
MLS Listing,,Multi-Family (2-4 Unit),226 FAIRMOUNT Ave,Newark City,NJ,07103-2455,429000,8,3.0,Newark City,2500,2613,2019,90,172,,Active,,,http://www.redfin.com/NJ/Newark/226-Fairmount-Ave-07103/home/36233780,GSMLS,3681865,N,Y,40.7395526,-74.1947051
MLS Listing,,Multi-Family (2-4 Unit),155 Brookwood St,East Orange,NJ,07018,400000,6,3.0,East Orange,,3925,,92,,,Active,,,http://www.redfin.com/NJ/East-Orange/155-Brookwood-St-07018/home/36149956,NJMLS,20050164,N,Y,40.7475507,-74.2256591
MLS Listing,,Multi-Family (2-4 Unit),174 Pacific St,Newark,NJ,07105,369000,4,2.0,Newark,,2030,,94,,,Active,,,http://www.redfin.com/NJ/Newark/174-Pacific-St-07105/home/36253249,NJMLS,20049912,N,Y,40.721674,-74.16822
MLS Listing,,Multi-Family (2-4 Unit),18 Huntington Ter,Newark,NJ,07112,549000,9,5.0,Newark,,3498,,94,,,Active,,,http://www.redfin.com/NJ/Newark/18-Huntington-Ter-07112/home/36282936,NJMLS,20049908,N,Y,40.7167946,-74.2076835
MLS Listing,,Condo/Co-op,201 Dey St #166,Harrison,NJ,07029,380000,2,2.0,Harrison,,,,94,,,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-166/home/36430501,NJMLS,20049905,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),19 Huntington Ter,Newark,NJ,07112,549000,9,5.0,Newark,,3498,,94,,,Active,,,http://www.redfin.com/NJ/Newark/19-Huntington-Ter-07112/home/36282902,NJMLS,20049901,N,Y,40.7169746,-74.2081421
MLS Listing,,Single Family Residential,778 S 16TH St,Newark City,NJ,07103-1430,265000,5,2.0,Newark City,,2613,1955,94,,,Active,,,http://www.redfin.com/NJ/Newark/778-S-16th-St-07103/home/36271845,GSMLS,3681050,N,Y,40.7284192,-74.2108821
MLS Listing,,Single Family Residential,62 Mountain View Ave,Newark,NJ,07106,230000,4,2.0,Newark,,3912,,94,,,Active,,,http://www.redfin.com/NJ/Newark/62-Mountainview-Ave-07106/home/36303907,NJMLS,20049799,N,Y,40.746763,-74.2208352
MLS Listing,,Multi-Family (2-4 Unit),192 Renner Ave,Newark,NJ,07112,450000,7,4.0,Newark,,2500,,95,,,Active,,,http://www.redfin.com/NJ/Newark/192-Renner-Ave-07112/home/36074061,NJMLS,20049722,N,Y,40.7117897,-74.2075459
